,Address,locName,locType,error,desc
1,"10207 Timberland Rd, Surrey, BC V3V, Canada",,,0.9,
2,"10361 Banana Ave, Fontana, CA 92337",,,0.2,
3,"10790 Doncaster Crescent, Tsawwassen, BC V4C 8A6, Canada",,,0,
4,"1120 Cliff Ave, Tacoma, WA 98402",,,2,
5,"124 Lions Dr, Bethel Township, PA 17026",,,0.7,
6,"13357 Crestview Dr, Surrey, BC V3R 6V3, Canada",,,0.2,
7,"137 Lions Dr, Bethel Township, PA 17026",,,0.7,
8,"1418 Brittney Ln, Burlington, NC 27215",,,2.5,
9,"14201 NE Woodinville Duvall Rd, Woodinville, WA 98072",,,0.04,
10,"15225 Aurora Ave N, Shoreline, WA 98133",,,0.1,
11,"165 W Central Ave, Salt Lake City, UT 84107",,,0.5,
12,"20111 46th Ave W, Lynnwood, WA 98036",,,0.4,
13,"205 18th St E, Kalispell, MT 59901",,,1.25,
14,"210 Queen Mary Dr, Brampton, ON L7A, Canada",,,0.5,
15,"22817 E 26th Ave, Aurora, CO 80019",,,0.2,
16,"2336 Luther Dr S, Hillsborough, NC 27278",,,0,
17,"3130 Valmont Rd, Boulder, CO 80301",,,0.04,
18,"3351 W Morris St, Indianapolis, IN 46241",,,0.6,
19,"387 S Bryant St, Denver, CO 80219",,,0.7,
20,"4012 Sonora Ct, Vernon, BC V1T 9W4, Canada",,,0.9,
21,"4813 Jonestown Rd, Lower Paxton Township, PA 17109",,,0.1,
22,"502 Darren Way, Fernley, NV 89408",,,1.55,
23,"5665 Fox Ave, Reno, NV 89506",,,0,
24,"5725 Bravo Ave, Reno, NV 89506",,,0,
25,"57655 Lower Columbia River Hwy, Warren, OR 97053",,,1.2,
26,"6306 Old 421 Rd, Liberty, NC 27298",,,0,
27,"68 Veterans Ave, Brooksville, FL 34601",,,0,
28,"723 Field St, Victoria, BC V8T 1N7, Canada",,,0.1,
29,"753 Main St, Haines City, FL 33844",,,1.5,
30,"7922 52nd St E, Fife, WA 98424",,,0,
31,"8039 113 B St, Tsawwassen, BC V4C 5E7, Canada",,,0.9,
32,"852 Brook St, Lynchburg, VA 24501",,,0.4,
33,"890 S Waverly Rd, Holland, MI 49423",,,0.4,
34,"9704 Longwoods Rd, Easton, MD 21601",,,0,
35,"9950 Mickelberry Rd NW, Silverdale, WA 98383",,,0.2,
36,"Winter Haven, FL",,,1.3,
37,"1000 N Hills Blvd, Reno, NV 89506",,,2,
38,"10025 Cutler Rd, Portland, MI 48875",,,0,
39,"1091 White Rock Rd, El Dorado Hills, CA 95762",,,0,
40,"10917 16th Ave SE, Everett, WA 98208",,,0.9,
41,"1305 W Barrett St, Seattle, WA 98119",,,0.5,
42,"13231 W Waddell Rd, Surprise, AZ 85379",,,1.45,
43,"1345 Alpha Lake Rd, Whistler, BC V0N 1B1, Canada",,,0,
44,"1405 E Newlands Dr, Fernley, NV 89408",,,0.8,
45,"1610 E Badger Rd, Everson, WA 98247",,,0,
46,"1621 Wyncoop Rd, Sutter, CA 95982",,,0,
47,"164 E 35th St, Holland, MI 49423",,,1,
48,"2057 W 2315 S, Woods Cross, UT 84087",,,0,
49,"2235 Norfolk St, Baltimore, MD 21230",,,0.2,
50,"2317 S 2125 W, Woods Cross, UT 84087",,,0,
51,"3015 78th Ave E, Fife, WA 98424",,,0,
52,"3024 SE Malcolm St, Milwaukie, OR 97222",,,0.4,
53,"328 Southgate Ave, Chico, CA 95928",,,0,
54,"3451 N University Dr, Sunrise, FL 33351",,,0,
55,"4021 N Molter Rd, Otis Orchards, WA 99027",,,0,
56,"4106 NW 79th Ave, Sunrise, FL 33351",,,0.5,
57,"4179 70th Ave E, Fife, WA 98424",,,0,
58,"51 Sycamore Dr, Middleborough, MA 02346",,,0.1,
59,"5102 40th St E, Tacoma, WA 98443",,,0,
60,"55 W Center St, North Salt Lake, UT 84054",,,0,
61,"5675 Alpha Ave, Reno, NV 89506",,,0,
62,"5710 Sandcreek Dr, Commerce City, CO 80022",,,0,
63,"6431 Miramar Rd, San Diego, CA 92121",,,0.1,
64,"7371 Vantage Way, Tsawwassen, BC V4G 1C9, Canada",,,0,
65,"7475 Meadowmist Ln, Ferndale, WA 98248",,,0,
66,"7875 N Virginia St, Reno, NV 89506",,,3.4,
67,"812 Peace Dr, Richmond, KY 40475",,,1.8,
68,"8689 Delcrest Dr, Tsawwassen, BC V4C 3Z5, Canada",,,0.8,
69,"8868 Silverkist Dr, Reno, NV 89506",,,1.8,
70,"9 Border Ave, Wilmington, MA 01887",,,0,
71,"9101 Andranste Way, Reno, NV 89506",,,0.5,
72,"915 Northridge St, Greensboro, NC 27403",,,0,
73,"9326 Skokomish Way NE, Olympia, WA 98516",,,0.2,
74,"942 Elliott Ave W, Seattle, WA 98119",,,0,
75,"9876 Bender Rd, Lynden, WA 98264",,,0,
76,"East Portland Fwy, Portland, OR 97216",,,0.2,
77,"I-5 N, Olympia, WA 98512",,,0,
78,"I-70 W, Columbus, OH 43204",,,0,
79,"I-73 N, Greensboro, NC 27409",,,0,
80,"Noblestown Rd, Collier Township, PA 15106",,,0,
81,"10223 Calabash Ave, Fontana, CA 92337",,,0,
82,"110 Pine Ave, Snohomish, WA 98290",,,0.2,
83,"11052 CA-20, Meridian, CA 95957",,,0,
84,"12324 Lower Columbia River Hwy, Portland, OR 97231",,,1.6,
85,"1325 Derwent Way, Tsawwassen, BC V3M 5V9, Canada",,,0.7,
86,"13699 Orchard Pkwy, Westminster, CO 80023",,,0.05,
87,"1400 Sweetwater Club Blvd, Haines City, FL 33844",,,0,
88,"152 Big Bench Ranch Rd, Wadsworth, NV 89442",,,3.65,
89,"1709 NE 213th Ave, Fairview, OR 97024",,,0.8,
90,"1809 W Meeker St, Kent, WA 98032",,,1.2,
91,"1814 Harbour St, Port Coquitlam, BC V3C, Canada",,,0,
92,"1820 N Kilpatrick St, Portland, OR 97217",,,0,
93,"21682 Ridgeway Crescent, Maple Ridge, BC V2X 3Z7, Canada",,,0.8,
94,"2190 Cartagena Dr, Yuba City, CA 95993",,,0,
95,"2401 NE Minnehaha St, Vancouver, WA 98663",,,0.2,
96,"26471 Sand Rd, Parma, ID 83660",,,0,
97,"2727 Salisbury Hwy, Statesville, NC 28625",,,0,
98,"2863 Northtowne Ln, Reno, NV 89512",,,0.05,
99,"2929 E Hardies Rd, Hampton Township, PA 15044",,,0.7,
100,"3001 S 288th St, Federal Way, WA 98003",,,0,
101,"311 Sutro St, Reno, NV 89512",,,0,
102,"5037 E New York St, Indianapolis, IN 46201",,,0,
103,"530 Franklyn Rd, Kelowna, BC V1X 6G5, Canada",,,0.6,
104,"535 Tennis Court Ln, San Bernardino, CA 92408",,,0.7,
105,"5688 Cabot St, Halifax, NS B3K 2J8, Canada",,,0,
106,"5732 60th St SE, Snohomish, WA 98290",,,0,
107,"58 Michael Ln, Bethel Township, PA 17026",,,0.9,
108,"71 Fisher Ave, Union Township, PA 17038",,,5.2,
109,"7980 Sand Pebble Dr, Reno, NV 89506",,,2.8,
110,"801 Liverpool St, Aurora, CO 80018",,,0,
111,"910 S Holden Rd, Greensboro, NC 27407",,,0.6,
112,"920 Holman Way, Sparks, NV 89431",,,0,
113,"9871 S Parker Rd, Parker, CO 80134",,,0.2,
114,"Brooks Robinson Dr, Pikesville, MD 21208",,,0,
115,"I-80 W, Reno, NV 89510",,,0,
116,"I-84 W, Meridian, ID 83642",,,0,
117,"Joseph M Hunt Jr Expy, Julian, NC 27283",,,0,
118,"Laughlin Bridge, Bullhead City, AZ 86429",,,0.5,
119,"Portland, OR",,,0,
120,"S Fraser Perimeter Rd, Surrey, BC V3V, Canada",,,0,
121,"Whitemud Dr NW, Edmonton, AB T6H, Canada",,,0.1,
122,"965 Westerlund Ln, Fernley, NV 89408",,,2.1,
123,"2425 Lasso Ln, Lakeland, FL 33801",,,0,
124,"Columbia-Shuswap, BC, Canada",,,0,
125,"282392 Glenmore Trail, Rocky View County, AB T1X, Canada",,,0,
126,"Baltimore Harrisburg Expy, Parkton, MD 21120",,,0,
127,"Boise Hills Village, ID",,,0,
128,"Willamette Hwy, Oakridge, OR 97463",,,0,
129,"25800 SW Meadowbrook Ln, Sherwood, OR 97140",,,0,
